city.name,species,diameter,height,climate
Assen,Quercus robur,NA,16.5,Cfb
Assen,Quercus robur,NA,16.5,Cfb
Assen,Quercus robur,NA,16.5,Cfb
Assen,Quercus robur,NA,13.5,Cfb
Assen,Quercus robur,NA,16.5,Cfb
Assen,Quercus robur,NA,13.5,Cfb
Assen,Quercus robur,NA,13.5,Cfb
Assen,Quercus robur,NA,13.5,Cfb
Assen,Quercus robur,NA,13.5,Cfb
Assen,Quercus robur,NA,16.5,Cfb
Assen,Quercus robur,NA,13.5,Cfb
Assen,Acer pseudoplatanus,NA,13.5,Cfb
Assen,Alnus glutinosa,NA,10.5,Cfb
Assen,Acer pseudoplatanus,NA,13.5,Cfb
Assen,Quercus robur,53,13.5,Cfb
Assen,Quercus robur,NA,16.5,Cfb
Assen,Betula pendula,NA,16.5,Cfb
Assen,Quercus rubra,NA,16.5,Cfb
Assen,Quercus robur,NA,16.5,Cfb
Assen,Quercus robur,0,13.5,Cfb
Assen,Quercus robur,0,13.5,Cfb
Assen,Quercus robur,NA,13.5,Cfb
Assen,Quercus robur,NA,13.5,Cfb
Assen,Quercus robur,NA,13.5,Cfb
Assen,Quercus robur,NA,13.5,Cfb
Assen,Quercus robur,NA,13.5,Cfb
Assen,Quercus robur,NA,13.5,Cfb
Assen,Quercus robur,NA,13.5,Cfb
Assen,Quercus robur,NA,13.5,Cfb
Assen,Quercus robur,NA,13.5,Cfb
Assen,Quercus robur,NA,13.5,Cfb
Assen,Quercus robur,NA,13.5,Cfb
Assen,Quercus robur,NA,13.5,Cfb
Assen,Quercus robur,NA,13.5,Cfb
Assen,Quercus robur,NA,13.5,Cfb
Assen,Quercus robur,56,13.5,Cfb
Assen,Quercus robur,NA,13.5,Cfb
Assen,Quercus robur,NA,13.5,Cfb
Assen,Quercus robur,NA,13.5,Cfb
Assen,Quercus robur,NA,13.5,Cfb
Assen,Quercus robur,NA,13.5,Cfb
Assen,Quercus robur,NA,13.5,Cfb
Assen,Quercus robur,NA,16.5,Cfb
Assen,Quercus robur,NA,16.5,Cfb
Assen,Quercus robur,NA,16.5,Cfb
Assen,Quercus robur,NA,16.5,Cfb
Assen,Quercus robur,NA,16.5,Cfb
Assen,Quercus rubra,NA,16.5,Cfb
Assen,Quercus robur,NA,13.5,Cfb
Assen,Quercus robur,NA,13.5,Cfb
Assen,Quercus robur,37,13.5,Cfb
Assen,Quercus robur,NA,13.5,Cfb
Assen,Quercus robur,NA,13.5,Cfb
Assen,Quercus robur,NA,13.5,Cfb
Assen,Quercus robur,NA,13.5,Cfb
Assen,Quercus robur,NA,16.5,Cfb
Assen,Quercus robur,NA,16.5,Cfb
Assen,Betula pendula,NA,16.5,Cfb
Assen,Betula pendula,NA,16.5,Cfb
Assen,Betula pendula,NA,16.5,Cfb
Assen,Betula pendula,NA,13.5,Cfb
Assen,Betula pendula,NA,16.5,Cfb
Assen,Betula pendula,NA,10.5,Cfb
Assen,Betula pendula,NA,13.5,Cfb
Assen,Betula pendula,41,13.5,Cfb
Assen,Robinia pseudoacacia,NA,13.5,Cfb
Assen,Quercus robur,NA,13.5,Cfb
Assen,Quercus robur,NA,13.5,Cfb
Assen,Quercus rubra,NA,13.5,Cfb
Assen,Alnus glutinosa,NA,13.5,Cfb
Assen,Quercus robur,61,16.5,Cfb
Assen,Quercus robur,NA,13.5,Cfb
Assen,Carpinus betulus 'columnaris',NA,10.5,Cfb
Assen,Carpinus betulus 'columnaris',NA,10.5,Cfb
Assen,Carpinus betulus 'columnaris',NA,10.5,Cfb
Assen,Carpinus betulus 'columnaris',NA,10.5,Cfb
Assen,Carpinus betulus 'columnaris',NA,10.5,Cfb
Assen,Betula papyrifera,NA,7.5,Cfb
Assen,Betula papyrifera,NA,7.5,Cfb
Assen,Betula papyrifera,NA,10.5,Cfb
Assen,Betula papyrifera,NA,10.5,Cfb
Assen,Robinia pseudoac. 'umbraculifefa',NA,3,Cfb
Assen,Robinia pseudoac. 'umbraculifefa',NA,3,Cfb
Assen,Robinia pseudoac. 'umbraculifefa',NA,3,Cfb
Assen,Robinia pseudoac. 'umbraculifefa',NA,3,Cfb
Assen,Robinia pseudoac. 'umbraculifefa',29,3,Cfb
Assen,Robinia pseudoac. 'umbraculifefa',NA,3,Cfb
Assen,Alnus spaethii,NA,16.5,Cfb
Assen,Alnus spaethii,NA,16.5,Cfb
Assen,Alnus spaethii,NA,16.5,Cfb
Assen,Quercus robur,NA,13.5,Cfb
Assen,Quercus robur,NA,13.5,Cfb
Assen,Quercus robur,NA,10.5,Cfb
Assen,Aesculus hipp.'baumanii',54,13.5,Cfb
Assen,Tilia vulgaris,NA,7.5,Cfb
Assen,Quercus robur,NA,16.5,Cfb
Assen,Tilia vulgaris,NA,13.5,Cfb
Assen,Tilia vulgaris,NA,13.5,Cfb
Assen,Tilia vulgaris,NA,16.5,Cfb
Assen,Tilia vulgaris,NA,16.5,Cfb
Assen,Acer pseudoplatanus,NA,13.5,Cfb
Assen,Acer pseudoplatanus,NA,10.5,Cfb
Assen,Acer pseudoplatanus,NA,10.5,Cfb
Assen,Acer pseudoplatanus,NA,10.5,Cfb
Assen,Acer pseudoplatanus,NA,7.5,Cfb
Assen,Acer pseudoplatanus,NA,13.5,Cfb
