"","city.name","species","diameter","height","climate"
"1","Belfast","Prunus cerasifera 'Nigra'",70,8,"Cfb"
"2","Belfast","Acer pseudoplatanus",32,14,"Cfb"
"3","Belfast","Populus alba",-29,12,"Cfb"
"4","Belfast","Mixed broadleaf",21,12,"Cfb"
"5","Belfast","Pinus nigra",47,13,"Cfb"
"6","Belfast","Quercus robur",97,20,"Cfb"
"7","Belfast","Castanea sativa",90,16,"Cfb"
"8","Belfast","Fagus sylvatica",96,18,"Cfb"
"9","Belfast","Pyrus calleryana 'Chanticleer'",7,0,"Cfb"
"10","Belfast","Fagus sylvatica",84,26,"Cfb"
"11","Belfast","Acer pseudoplatanus",112,22,"Cfb"
"12","Belfast","Aesculus hippocastanum",80,18,"Cfb"
"13","Belfast","Quercus robur",98,20,"Cfb"
"14","Belfast","Quercus robur",83,18,"Cfb"
"15","Belfast","Fagus sylvatica",130,11,"Cfb"
"16","Belfast","Fagus sylvatica",68,26,"Cfb"
"17","Belfast","Castanea sativa",-148,23,"Cfb"
"18","Belfast","Quercus cerris",94,28,"Cfb"
"19","Belfast","Fagus sylvatica",128,25,"Cfb"
"20","Belfast","Fagus sylvatica",102,21,"Cfb"
"21","Belfast","Tilla cordata",54,15,"Cfb"
"22","Belfast","Fagus sylvatica",-105,29,"Cfb"
"23","Belfast","Quercus robur",91,18,"Cfb"
"24","Belfast","Quercus (type)",64,18,"Cfb"
"25","Belfast","Fraxinus excelsior",-64,19,"Cfb"
"26","Belfast","Cupressocyparis leylandii",92,27,"Cfb"
"27","Belfast","Quercus robur",112,21,"Cfb"
"28","Belfast","Quercus (type)",88,22,"Cfb"
"29","Belfast","Fagus sylvatica",133,23,"Cfb"
"30","Belfast","Fagus sylvatica",101,27,"Cfb"
"31","Belfast","Fagus sylvatica",140,22,"Cfb"
"32","Belfast","Fagus sylvatica",124,21,"Cfb"
"33","Belfast","Fagus sylvatica",76,15,"Cfb"
"34","Belfast","Fagus sylvatica",-93,18,"Cfb"
"35","Belfast","Fagus sylvatica",-75,15,"Cfb"
"36","Belfast","Fagus sylvatica",127,24,"Cfb"
"37","Belfast","Quercus robur",70,17,"Cfb"
"38","Belfast","Alnus glutinosa",41,12,"Cfb"
"39","Belfast","Acer pseudoplatanus",59,19,"Cfb"
"40","Belfast","Aesculus hippocastanum",66,17,"Cfb"
"41","Belfast","Fagus sylvatica",122,23,"Cfb"
"42","Belfast","Acer pseudoplatanus",74,15,"Cfb"
"43","Belfast","Not known",55,15,"Cfb"
"44","Belfast","Acer pseudoplatanus",52,14,"Cfb"
"45","Belfast","Aesculus hippocastanum",85,18,"Cfb"
"46","Belfast","Acer pseudoplatanus",99,21,"Cfb"
"47","Belfast","Tilla (type)",81,14,"Cfb"
"48","Belfast","Aesculus hippocastanum",53,16,"Cfb"
"49","Belfast","Aesculus hippocastanum",53,20,"Cfb"
"50","Belfast","Cedrus atlantica",162,21,"Cfb"
"51","Belfast","Aesculus hippocastanum",74,20,"Cfb"
"52","Belfast","Abies procera",-72,21,"Cfb"
"53","Belfast","Not known",34,9,"Cfb"
"54","Belfast","N/A",40,15,"Cfb"
"55","Belfast","Fagus sylvatica",55,16,"Cfb"
"56","Belfast","Aesculus hippocastanum",81,15,"Cfb"
"57","Belfast","Aesculus hippocastanum",41,16,"Cfb"
"58","Belfast","Aesculus hippocastanum",89,24,"Cfb"
"59","Belfast","Fagus sylvatica",59,16,"Cfb"
"60","Belfast","Acer (type)",67,14,"Cfb"
"61","Belfast","Acer pseudoplatanus",101,25,"Cfb"
"62","Belfast","Aesculus hippocastanum",96,23,"Cfb"
"63","Belfast","Alnus glutinosa",38,21,"Cfb"
"64","Belfast","Alnus glutinosa",40,22,"Cfb"
"65","Belfast","Alnus glutinosa",38,21,"Cfb"
"66","Belfast","Acer pseudoplatanus",103,27,"Cfb"
"67","Belfast","Alnus glutinosa",41,16,"Cfb"
"68","Belfast","Alnus glutinosa",43,20,"Cfb"
"69","Belfast","Alnus glutinosa",41,20,"Cfb"
"70","Belfast","Alnus glutinosa",49,22,"Cfb"
"71","Belfast","Acer pseudoplatanus",150,27,"Cfb"
"72","Belfast","Ilex aquifolium",82,11,"Cfb"
"73","Belfast","Aesculus hippocastanum",56,18,"Cfb"
"74","Belfast","Alnus incana",43,18,"Cfb"
"75","Belfast","Alnus incana",42,17,"Cfb"
"76","Belfast","Alnus glutinosa",38,20,"Cfb"
"77","Belfast","Cedrus atlantica",42,15,"Cfb"
"78","Belfast","Fagus sylvatica",47,14,"Cfb"
"79","Belfast","Fagus sylvatica",81,26,"Cfb"
"80","Belfast","Quercus robur",137,22,"Cfb"
"81","Belfast","Juniperus communis",55,11,"Cfb"
"82","Belfast","Fraxinus excelsior",87,25,"Cfb"
"83","Belfast","Acer pseudoplatanus",111,27,"Cfb"
"84","Belfast","Acer pseudoplatanus",145,11,"Cfb"
"85","Belfast","Cupressus (type)",97,14,"Cfb"
"86","Belfast","Pinus nigra",81,25,"Cfb"
"87","Belfast","Aesculus hippocastanum",31,10,"Cfb"
"88","Belfast","Alnus glutinosa",24,17,"Cfb"
"89","Belfast","Sorbus aria (type)",41,11,"Cfb"
"90","Belfast","Fagus sylvatica",58,17,"Cfb"
"91","Belfast","Abies procera",62,23,"Cfb"
"92","Belfast","Acer pseudoplatanus",98,26,"Cfb"
"93","Belfast","Acer pseudoplatanus",60,18,"Cfb"
"94","Belfast","Sorbus aria",34,14,"Cfb"
"95","Belfast","Fagus sylvatica",66,22,"Cfb"
"96","Belfast","Fagus sylvatica",66,14,"Cfb"
"97","Belfast","Aesculus hippocastanum",58,23,"Cfb"
"98","Belfast","Aesculus hippocastanum",87,14,"Cfb"
"99","Belfast","Ilex aquifolium",30,14,"Cfb"
"100","Belfast","Ilex aquifolium",34,14,"Cfb"
"101","Belfast","Acer platanoides",57,19,"Cfb"
"102","Belfast","Fagus sylvatica",91,26,"Cfb"
"103","Belfast","Fagus sylvatica",107,27,"Cfb"
"104","Belfast","Acer pseudoplatanus",98,27,"Cfb"
"105","Belfast","Quercus cerris",96,17,"Cfb"
"106","Belfast","Prunus 'Amanogawa'",36,7,"Cfb"
"107","Belfast","Prunus 'Amanogawa'",44,7,"Cfb"
"108","Belfast","Quercus robur",53,27,"Cfb"
"109","Belfast","Fagus sylvatica",-90,12,"Cfb"
"110","Belfast","Fagus sylvatica",-104,9,"Cfb"
"111","Belfast","Fagus sylvatica",90,27,"Cfb"
"112","Belfast","Pinus nigra",82,30,"Cfb"
"113","Belfast","Fagus sylvatica",71,24,"Cfb"
"114","Belfast","Aesculus hippocastanum",107,17,"Cfb"
"115","Belfast","Pinus sylvestris",33,8,"Cfb"
"116","Belfast","Fagus sylvatica",37,11,"Cfb"
"117","Belfast","Pinus (type)",58,26,"Cfb"
"118","Belfast","Tilla x europaea",84,16,"Cfb"
"119","Belfast","Tilla x europaea",55,16,"Cfb"
"120","Belfast","Fagus sylvatica",71,26,"Cfb"
"121","Belfast","Quercus robur",171,26,"Cfb"
"122","Belfast","Prunus (type)",28,17,"Cfb"
"123","Belfast","Quercus robur",130,26,"Cfb"
"124","Belfast","Acer pseudoplatanus",69,21,"Cfb"
"125","Belfast","Acer pseudoplatanus",49,14,"Cfb"
"126","Belfast","Acer platanoides 'Crimson King'",35,15,"Cfb"
"127","Belfast","Fraxinus excelsior",84,26,"Cfb"
"128","Belfast","Prunus 'Amanogawa'",27,12,"Cfb"
"129","Belfast","Betula pubescens",27,10,"Cfb"
"130","Belfast","Fraxinus excelsior",49,18,"Cfb"
"131","Belfast","Aesculus hippocastanum",57,19,"Cfb"
"132","Belfast","Acer pseudoplatanus",87,25,"Cfb"
"133","Belfast","Aesculus hippocastanum",93,11,"Cfb"
"134","Belfast","Fagus sylvatica",94,29,"Cfb"
"135","Belfast","Fagus sylvatica",93,27,"Cfb"
"136","Belfast","Fagus sylvatica",75,27,"Cfb"
"137","Belfast","Fagus sylvatica",63,18,"Cfb"
"138","Belfast","Fagus sylvatica",72,26,"Cfb"
"139","Belfast","Quercus robur",59,20,"Cfb"
"140","Belfast","Aesculus hippocastanum",45,18,"Cfb"
