city.name,species,diameter,climate,height,new.species
Bolzano,Prunus avium,22,Cfa,2.5,Prunus avium
Bolzano,Betula pendula,26,Cfa,7.5,Betula pendula
Bolzano,Magnolia grandiflora,75,Cfa,17.5,Magnolia grandiflora
Bolzano,Ostrya carpinifolia,34.06,Cfa,12.5,Ostrya carpinifolia
Bolzano,Ostrya carpinifolia,36.61,Cfa,12.5,Ostrya carpinifolia
Bolzano,Ostrya carpinifolia,31.83,Cfa,12.5,Ostrya carpinifolia
Bolzano,Ostrya carpinifolia,36.92,Cfa,12.5,Ostrya carpinifolia
Bolzano,Ostrya carpinifolia,32.79,Cfa,12.5,Ostrya carpinifolia
Bolzano,Ostrya carpinifolia,44.25,Cfa,12.5,Ostrya carpinifolia
Bolzano,Ostrya carpinifolia,33.1,Cfa,12.5,Ostrya carpinifolia
Bolzano,Ostrya carpinifolia,36.92,Cfa,12.5,Ostrya carpinifolia
Bolzano,Acer campestre,35.65,Cfa,7.5,Acer campestre
Bolzano,Acer campestre,12.41,Cfa,7.5,Acer campestre
Bolzano,Acer campestre,23.24,Cfa,7.5,Acer campestre
Bolzano,Acer campestre,34.38,Cfa,7.5,Acer campestre
Bolzano,Liquidambar styraciflua,19.42,Cfa,7.5,Liquidambar styraciflua
Bolzano,Sophora japonica,32.79,Cfa,12.5,Styphnolobium japonicum
Bolzano,Sophora japonica,31.83,Cfa,12.5,Styphnolobium japonicum
Bolzano,Celtis australis,60.48,Cfa,12.5,Celtis australis
Bolzano,Acer campestre,34.06,Cfa,7.5,Acer campestre
Bolzano,Acer campestre,30.88,Cfa,7.5,Acer campestre
Bolzano,Robinia pseudoacacia,25.15,Cfa,7.5,Robinia pseudoacacia
Bolzano,Acer campestre,33.1,Cfa,7.5,Acer campestre
Bolzano,Acer campestre,34.38,Cfa,7.5,Acer campestre
Bolzano,Acer campestre,31.83,Cfa,7.5,Acer campestre
Bolzano,Acer campestre,36.29,Cfa,7.5,Acer campestre
Bolzano,Ostrya carpinifolia,37.88,Cfa,7.5,Ostrya carpinifolia
Bolzano,Platanus x hispanica,50.93,Cfa,12.5,Platanus hispanica
Bolzano,Acer campestre,45.52,Cfa,7.5,Acer campestre
Bolzano,Ostrya carpinifolia,25.15,Cfa,7.5,Ostrya carpinifolia
Bolzano,Ostrya carpinifolia,33.1,Cfa,7.5,Ostrya carpinifolia
Bolzano,Ostrya carpinifolia,20.69,Cfa,7.5,Ostrya carpinifolia
Bolzano,Ostrya carpinifolia,34.06,Cfa,7.5,Ostrya carpinifolia
Bolzano,Pyrus calleryana,23.55,Cfa,7.5,Pyrus calleryana
Bolzano,Pyrus calleryana,27.06,Cfa,7.5,Pyrus calleryana
Bolzano,Celtis australis,57.61,Cfa,7.5,Celtis australis
Bolzano,Pyrus calleryana,26.1,Cfa,7.5,Pyrus calleryana
Bolzano,Quercus rubra,26.74,Cfa,7.5,Quercus rubra
Bolzano,Ostrya carpinifolia,25.78,Cfa,12.5,Ostrya carpinifolia
Bolzano,Ostrya carpinifolia,36.29,Cfa,12.5,Ostrya carpinifolia
Bolzano,Cedrus deodara,54.11,Cfa,17.5,Cedrus deodara
Bolzano,Acer palmatum,8.28,Cfa,2.5,Acer palmatum
Bolzano,Ostrya carpinifolia,31.51,Cfa,12.5,Ostrya carpinifolia
Bolzano,Ostrya carpinifolia,31.51,Cfa,12.5,Ostrya carpinifolia
Bolzano,Cedrus deodara,29.6,Cfa,12.5,Cedrus deodara
Bolzano,Ostrya carpinifolia,28.33,Cfa,12.5,Ostrya carpinifolia
Bolzano,Ostrya carpinifolia,24.51,Cfa,12.5,Ostrya carpinifolia
Bolzano,Prunus cerasifera,37.56,Cfa,7.5,Prunus cerasifera
Bolzano,Prunus cerasifera,38.2,Cfa,7.5,Prunus cerasifera
Bolzano,Prunus cerasifera,24.83,Cfa,7.5,Prunus cerasifera
Bolzano,Prunus cerasifera,28.01,Cfa,7.5,Prunus cerasifera
Bolzano,Prunus cerasifera,23.24,Cfa,7.5,Prunus cerasifera
Bolzano,Prunus cerasifera,29.28,Cfa,7.5,Prunus cerasifera
Bolzano,Prunus cerasifera,21.01,Cfa,7.5,Prunus cerasifera
Bolzano,Prunus cerasifera,21.33,Cfa,7.5,Prunus cerasifera
Bolzano,Calocedrus decurrens,25.15,Cfa,7.5,Calocedrus decurrens
Bolzano,Ostrya carpinifolia,35.65,Cfa,12.5,Ostrya carpinifolia
Bolzano,Ostrya carpinifolia,40.11,Cfa,12.5,Ostrya carpinifolia
Bolzano,Magnolia kobus,7,Cfa,7.5,Magnolia kobus
Bolzano,Cedrus deodara,8.91,Cfa,7.5,Cedrus deodara
Bolzano,Carpinus betulus,5.73,Cfa,7.5,Carpinus betulus
