city.name,species,diameter,height,climate
Bordeaux,Liquidambar styraciflua,62,8,Cfb
Bordeaux,Prunus cerasifera,25,6,Cfb
Bordeaux,Platanus x hispanica,106,15,Cfb
Bordeaux,Platanus x hispanica,116,17,Cfb
Bordeaux,Tilia tomentosa,150,15,Cfb
Bordeaux,Catalpa bignonioides,128,11,Cfb
Bordeaux,Acer buergerianum,18,5,Cfb
Bordeaux,Tilia x europaea,28,5,Cfb
Bordeaux,,15,2,Cfb
Bordeaux,Albizia julibrissin,124,7,Cfb
Bordeaux,Cercis siliquastrum,31,5,Cfb
Bordeaux,Platanus x hispanica,282,30,Cfb
Bordeaux,Platanus x hispanica,157,16,Cfb
Bordeaux,Platanus x hispanica,43,9,Cfb
Bordeaux,Pinus sylvestris,172,12,Cfb
Bordeaux,Fraxinus excelsior,43,9,Cfb
Bordeaux,,12,2,Cfb
Bordeaux,Fraxinus excelsior,59,10,Cfb
Bordeaux,Tilia tomentosa,91,10,Cfb
Bordeaux,Fraxinus excelsior,59,8,Cfb
Bordeaux,,15,2,Cfb
Bordeaux,Aesculus x carnea,80,9,Cfb
Bordeaux,,125,7,Cfb
Bordeaux,Lagerstroemia indica,34,3,Cfb
Bordeaux,Ligustrum japonicum,78,11,Cfb
Bordeaux,Albizia julibrissin,62,5,Cfb
Bordeaux,Prunus serrulata,62,4,Cfb
Bordeaux,Prunus serrulata,56,4,Cfb
Bordeaux,Prunus serrulata,84,4,Cfb
Bordeaux,Acer macrophyllum,69,6,Cfb
Bordeaux,Carpinus betulus,97,9,Cfb
Bordeaux,Liquidambar styraciflua,28,6,Cfb
Bordeaux,Liquidambar styraciflua,34,6,Cfb
Bordeaux,Alnus glutinosa,18,7,Cfb
Bordeaux,Catalpa bignonioides,37,7,Cfb
Bordeaux,Tilia tomentosa,34,6,Cfb
Bordeaux,,NA,NA,Cfb
Bordeaux,,NA,NA,Cfb
Bordeaux,Catalpa bignonioides,87,10,Cfb
Bordeaux,Fraxinus excelsior,59,9,Cfb
Bordeaux,Abies nordmanniana,84,12,Cfb
Bordeaux,Fraxinus excelsior,75,9,Cfb
Bordeaux,Populus x canadensis,204,17,Cfb
Bordeaux,Acer platanoides,47,6,Cfb
Bordeaux,Acer pseudoplatanus,37,8,Cfb
Bordeaux,Abies nordmanniana,78,15,Cfb
Bordeaux,Celtis australis,147,16,Cfb
Bordeaux,Ligustrum japonicum,270,11,Cfb
Bordeaux,Tilia tomentosa,50,9,Cfb
Bordeaux,Aesculus x carnea,141,7,Cfb
Bordeaux,,119,NA,Cfb
Bordeaux,Quercus palustris,97,12,Cfb
Bordeaux,Acer saccharinum,128,17,Cfb
Bordeaux,Acer saccharinum,109,15,Cfb
