city.name,species,diameter,height,climate
Bristol,Malus - Species Unknown,6,NA,Cfb
Bristol,Acer pseudoplatanus,44,NA,Cfb
Bristol,Betula pendula Edinburgh,9,NA,Cfb
Bristol,Sorbus aucuparia,6,NA,Cfb
Bristol,Malus - Species Unknown,19,NA,Cfb
Bristol,Aesculus hippocastanum,50,NA,Cfb
Bristol,Sorbus aria,21,NA,Cfb
Bristol,Sorbus aria,20,NA,Cfb
Bristol,Fraxinus excelsior,20,NA,Cfb
Bristol,Malus - Species Unknown,5,NA,Cfb
Bristol,Platanus x acerifolia,53,NA,Cfb
Bristol,Acer campestre,34,NA,Cfb
Bristol,Acer platanoides,44,NA,Cfb
Bristol,Acer platanoides,20,NA,Cfb
Bristol,Sorbus aucuparia,27,NA,Cfb
Bristol,Fraxinus excelsior,28,NA,Cfb
Bristol,Acer pseudoplatanus,15,NA,Cfb
Bristol,Acer pseudoplatanus,40,NA,Cfb
Bristol,Acer pseudoplatanus,38,NA,Cfb
Bristol,Prunus sargentii 'Rancho',6,NA,Cfb
Bristol,Sorbus aucuparia,28,NA,Cfb
Bristol,Taxus baccata,87,NA,Cfb
Bristol,Betula utilis jacquemontii,5,NA,Cfb
Bristol,Sorbus - Species Unknown,4,NA,Cfb
Bristol,Fraxinus excelsior,23,NA,Cfb
Bristol,Prunus avium Plena,30,NA,Cfb
Bristol,Fraxinus excelsior,9,NA,Cfb
Bristol,Ilex aquifolium,24,NA,Cfb
Bristol,Aesculus hippocastanum,56,NA,Cfb
Bristol,Populus tremula,No Code Allocated,NA,Cfb
Bristol,Liriodendron tulipifera,18,NA,Cfb
Bristol,Crataegus monogyna,20,NA,Cfb
Bristol,Betula pendula,31,NA,Cfb
Bristol,Acer platanoides,22,NA,Cfb
Bristol,Carpinus betulus,26,NA,Cfb
Bristol,Carpinus betulus,No Code Allocated,NA,Cfb
Bristol,Quercus robur,No Code Allocated,NA,Cfb
Bristol,Prunus cerasifera Pissardii,22,NA,Cfb
Bristol,Malus - Species Unknown,16,NA,Cfb
Bristol,Betula pubescens,6,NA,Cfb
Bristol,Quercus robur,14,NA,Cfb
Bristol,Acer platanoides,60,NA,Cfb
Bristol,Prunus subhirtella Autumnalis,No Code Allocated,NA,Cfb
Bristol,Tilia cordata,38,NA,Cfb
Bristol,Quercus robur,71,NA,Cfb
Bristol,ZZ Tree stump,80,NA,Cfb
Bristol,Betula pubescens,6,NA,Cfb
Bristol,Fagus sylvatica,6,NA,Cfb
Bristol,Acer pseudoplatanus,63,NA,Cfb
Bristol,Betula pendula,40,NA,Cfb
Bristol,Quercus robur,20,NA,Cfb
Bristol,Fraxinus excelsior,No Code Allocated,NA,Cfb
Bristol,Fraxinus excelsior,No Code Allocated,NA,Cfb
Bristol,Quercus robur,30,NA,Cfb
Bristol,Acer campestre,25,NA,Cfb
Bristol,Prunus Kanzan,37,NA,Cfb
Bristol,Acer saccharinum,48,NA,Cfb
Bristol,Acer platanoides,No Code Allocated,NA,Cfb
Bristol,Malus - Species Unknown,6,NA,Cfb
Bristol,ZZ Tree stump,42,NA,Cfb
Bristol,Acer pseudoplatanus,38,NA,Cfb
Bristol,Alnus glutinosa Laciniata,11,NA,Cfb
Bristol,Platanus x acerifolia,62,NA,Cfb
Bristol,Platanus x acerifolia,16,NA,Cfb
Bristol,Sorbus - Species Unknown,2,NA,Cfb
Bristol,Fraxinus excelsior,32,NA,Cfb
Bristol,Acer pseudoplatanus,21,NA,Cfb
