city.name,species,diameter,height,climate
Caceres,Acer negundo,0.04,3.5,Csa
Caceres,Acer negundo,0.05,4,Csa
Caceres,Acer negundo,0.05,6,Csa
Caceres,Acer negundo,0.05,6,Csa
Caceres,Acer negundo,4,5,Csa
Caceres,Acer negundo,0.05,5,Csa
Caceres,Acer negundo,0.05,5.5,Csa
Caceres,Acer negundo,0.05,6,Csa
Caceres,Acer negundo,0.04,3.5,Csa
Caceres,Acer negundo,0.05,6,Csa
Caceres,Acer negundo,0.06,5.5,Csa
Caceres,Acer negundo,0.04,4,Csa
Caceres,Acer negundo,0.04,4,Csa
Caceres,Acer negundo,0.05,6,Csa
Caceres,Acer negundo,0.05,6,Csa
Caceres,Acer negundo,6,5,Csa
Caceres,Acer negundo,0.05,6,Csa
Caceres,Acer negundo,0.05,6,Csa
Caceres,Acer negundo,0.05,6,Csa
Caceres,Acer negundo,0.05,5,Csa
Caceres,Acer sacharinum,0.06,3.5,Csa
Caceres,Acer sacharinum,0.06,3.5,Csa
Caceres,Acer sacharinum,0.06,3.5,Csa
Caceres,Acer sacharinum,0.14,6,Csa
Caceres,Acer sacharinum,0.14,6,Csa
Caceres,Acer sacharinum,0.06,3.5,Csa
Caceres,Acer sacharinum,0.14,6,Csa
Caceres,Acer sacharinum,0.1,4.5,Csa
Caceres,Acer sacharinum,0.06,3.5,Csa
Caceres,Acer sacharinum,0.1,4.5,Csa
Caceres,Acer sacharinum,0.1,4.5,Csa
Caceres,Acer sacharinum,0.1,4.5,Csa
Caceres,Acer sacharinum,0.14,6,Csa
Caceres,Acer sacharinum,0.12,5,Csa
Caceres,Acer sacharinum,0.14,6,Csa
Caceres,Acer sacharinum,0.12,5,Csa
Caceres,Acer sacharinum,0.14,6,Csa
Caceres,Acer sacharinum,0.14,6,Csa
Caceres,Acer sacharinum,0.14,6,Csa
Caceres,Acer sacharinum,0.12,5,Csa
Caceres,Acer sacharinum,0.14,6,Csa
Caceres,Acer sacharinum,0,20,Csa
Caceres,Acer sacharinum,0.1,4.5,Csa
Caceres,Acer sacharinum,0.12,5,Csa
Caceres,Acer sacharinum,0.1,4.5,Csa
Caceres,Acer sacharinum,0,0,Csa
Caceres,Acer sacharinum,0.14,6,Csa
Caceres,Acer sacharinum,0.1,4.5,Csa
Caceres,Acer sacharinum,0.14,6,Csa
Caceres,Acer sacharinum,0.16,6,Csa
Caceres,Acer sacharinum,0.1,4.5,Csa
Caceres,Acer sacharinum,0.14,6,Csa
Caceres,Acer sacharinum,0.04,2.5,Csa
Caceres,Acer sacharinum,0.04,2.5,Csa
Caceres,Acer sacharinum,0.08,5.5,Csa
Caceres,Acer sacharinum,0.04,2.5,Csa
Caceres,Acer sacharinum,0.08,5.5,Csa
Caceres,Acer sacharinum,0.08,5.5,Csa
Caceres,Acer sacharinum,0.08,5.5,Csa
Caceres,Acer sacharinum,0.04,2.5,Csa
Caceres,Acer sacharinum,0.12,7,Csa
Caceres,Acer sacharinum,0.04,2.5,Csa
Caceres,Acer sacharinum,0.08,5.5,Csa
Caceres,Acer sacharinum,0.04,2.5,Csa
Caceres,Acer sacharinum,0.14,7,Csa
Caceres,Acer sacharinum,0.08,5.5,Csa
Caceres,Acer sacharinum,0.08,5.5,Csa
Caceres,Acer sacharinum,0.14,7,Csa
Caceres,Acer sacharinum,0.11,5,Csa
Caceres,Acer sacharinum,0.16,7,Csa
Caceres,Acer sacharinum,0.07,3.25,Csa
Caceres,Acer sacharinum,0.11,5,Csa
Caceres,Acer sacharinum,0.04,2.5,Csa
Caceres,Acer sacharinum,0.12,7,Csa
Caceres,Acer sacharinum,0.05,4,Csa
Caceres,Acer sacharinum,0.16,7,Csa
Caceres,Acer sacharinum,0.16,7,Csa
Caceres,Acer sacharinum,0.09,5,Csa
Caceres,Acer sacharinum,0.14,7,Csa
Caceres,Acer sacharinum,0.22,8.5,Csa
Caceres,Acer sacharinum,0.17,7,Csa
Caceres,Acer sacharinum,0.18,8.5,Csa
Caceres,Acer sacharinum,0.17,8.5,Csa
Caceres,Acer sacharinum,0.08,4,Csa
Caceres,Acer sacharinum,0.11,5,Csa
Caceres,Acer sacharinum,0.11,5,Csa
Caceres,Acer sacharinum,0.11,5,Csa
Caceres,Acer sacharinum,0.12,7,Csa
Caceres,Acer sacharinum,0.16,7,Csa
Caceres,Acer sacharinum,0.13,7,Csa
Caceres,Acer sacharinum,0.17,7,Csa
Caceres,Acer sacharinum,0.12,7,Csa
Caceres,Acer sacharinum,0.12,3.5,Csa
Caceres,Acer negundo,3,5,Csa
Caceres,Acer negundo,0.3,5,Csa
Caceres,Acer negundo,0.3,5,Csa
Caceres,Acer negundo,0.3,5,Csa
Caceres,Acer negundo,0.3,5,Csa
Caceres,Acer negundo,0.3,5,Csa
Caceres,Acer negundo,0.3,5,Csa
Caceres,Acer sacharinum,0.05,6,Csa
Caceres,Acer sacharinum,0.03,4,Csa
Caceres,Acer sacharinum,0.03,4,Csa
Caceres,Acer sacharinum,3.5,0.02,Csa
Caceres,Acer sacharinum,0.02,2,Csa
Caceres,Acer sacharinum,0.06,6,Csa
Caceres,Acer sacharinum,0.06,5.5,Csa
Caceres,Acer sacharinum,0.05,5.5,Csa
Caceres,Acer sacharinum,0.05,5.5,Csa
Caceres,Acer sacharinum,0.05,5.5,Csa
Caceres,Acer sacharinum,0.02,2,Csa
Caceres,Acer sacharinum,0.07,7,Csa
Caceres,Acer sacharinum,0.03,2.5,Csa
Caceres,Acer sacharinum,0.05,2.5,Csa
Caceres,Acer sacharinum,0.02,2.5,Csa
Caceres,Acer sacharinum,0.02,3,Csa
Caceres,Acer sacharinum,0.11,7,Csa
Caceres,Acer sacharinum,0.11,7,Csa
Caceres,Acer sacharinum,0.08,6,Csa
Caceres,Acer sacharinum,0.08,6,Csa
Caceres,Acer sacharinum,0.02,2.5,Csa
Caceres,Acer sacharinum,0.12,10,Csa
Caceres,Acer sacharinum,0.06,6,Csa
Caceres,Acer sacharinum,0.08,8,Csa
Caceres,Acer sacharinum,0.08,7,Csa
Caceres,Acer sacharinum,0.04,4.5,Csa
Caceres,Acer sacharinum,0.05,6,Csa
Caceres,Acer sacharinum,0.04,5,Csa
Caceres,Acer sacharinum,0.04,5,Csa
Caceres,Acer sacharinum,0.04,5,Csa
Caceres,Acer sacharinum,0.05,5,Csa
Caceres,Acer sacharinum,0.15,20,Csa
Caceres,Acer sacharinum,0.13,20,Csa
Caceres,Acer sacharinum,0.09,20,Csa
Caceres,Acer sacharinum,0.12,20,Csa
Caceres,Acer sacharinum,0.14,20,Csa
Caceres,Acer sacharinum,0.07,3.5,Csa
Caceres,Acer sacharinum,0.14,20,Csa
Caceres,Acer sacharinum,0.06,3.5,Csa
Caceres,Acer sacharinum,0.07,5,Csa
Caceres,Acer sacharinum,0.15,5,Csa
Caceres,Acer sacharinum,0.06,3.5,Csa
Caceres,Acer sacharinum,0.07,3.5,Csa
Caceres,Acer negundo,0.04,3.5,Csa
Caceres,Acer negundo,0.04,3.5,Csa
Caceres,Acer negundo,0.04,3.5,Csa
Caceres,Acer negundo,0.04,3.5,Csa
Caceres,Acer negundo,0.07,5,Csa
Caceres,Acer negundo,0.04,3.5,Csa
Caceres,Acer negundo,0.03,3.5,Csa
Caceres,Acer negundo,0.04,3.5,Csa
Caceres,Acer negundo,0.05,3.5,Csa
Caceres,Acer negundo,0.07,3.5,Csa
Caceres,Acer negundo,0.04,3.5,Csa
Caceres,Acer negundo,0.03,3.5,Csa
Caceres,Acer negundo,0.04,3.5,Csa
Caceres,Acer negundo,0.04,3.5,Csa
Caceres,Acer negundo,0.05,3.5,Csa
Caceres,Acer negundo,0.04,3.5,Csa
Caceres,Acer negundo,0.04,3.5,Csa
Caceres,Acer negundo,0.04,3.5,Csa
Caceres,Acer negundo,0.04,3.5,Csa
Caceres,Acer negundo,0.04,3.5,Csa
Caceres,Acer negundo,0.04,3.5,Csa
Caceres,Acer negundo,0.04,3.5,Csa
Caceres,Acer negundo,0.05,3.5,Csa
Caceres,Acer sacharinum,0.02,1.8,Csa
Caceres,Acer sacharinum,0.03,2,Csa
Caceres,Acer sacharinum,0.04,2.3,Csa
Caceres,Acer sacharinum,0.04,2.5,Csa
Caceres,Acer sacharinum,0.04,2.6,Csa
Caceres,Acer sacharinum,0.04,2.6,Csa
Caceres,Acer sacharinum,0.06,3,Csa
Caceres,Acer sacharinum,0.06,3,Csa
Caceres,Acer sacharinum,0.04,2.6,Csa
Caceres,Acer sacharinum,0.07,3.4,Csa
Caceres,Acer sacharinum,0.04,2.2,Csa
Caceres,Acer sacharinum,0.05,2.5,Csa
Caceres,Acer sacharinum,0.07,3,Csa
Caceres,Acer sacharinum,0.04,2,Csa
Caceres,Acer sacharinum,0.04,2,Csa
Caceres,Acer sacharinum,0.04,2,Csa
Caceres,Acer sacharinum,0.06,2.6,Csa
Caceres,Acer sacharinum,0.06,2.6,Csa
Caceres,Acer sacharinum,0.05,2.5,Csa
Caceres,Acer sacharinum,0.05,2.4,Csa
Caceres,Acer sacharinum,0.05,2.3,Csa
Caceres,Acer sacharinum,0.06,2.7,Csa
Caceres,Acer sacharinum,0.05,2.7,Csa
Caceres,Acer sacharinum,0.06,3,Csa
Caceres,Acer sacharinum,0.05,2.3,Csa
Caceres,Acer sacharinum,0.04,2.2,Csa
Caceres,Acer sacharinum,0.05,3,Csa
Caceres,Acer sacharinum,0.06,3,Csa
Caceres,Acer sacharinum,0.05,2.7,Csa
Caceres,Acer sacharinum,0.05,2.7,Csa
Caceres,Acer sacharinum,0.04,2.4,Csa
Caceres,Acer sacharinum,0.06,3,Csa
Caceres,Acer sacharinum,0.05,3,Csa
Caceres,Acer sacharinum,0.05,3,Csa
Caceres,Acer sacharinum,0.04,2.7,Csa
Caceres,Acer sacharinum,0.03,2.3,Csa
Caceres,Acer sacharinum,0.04,2.4,Csa
Caceres,Acer sacharinum,0.04,3,Csa
Caceres,Acer sacharinum,0.04,3,Csa
Caceres,Acer sacharinum,0.05,4,Csa
Caceres,Acer sacharinum,0.04,4,Csa
Caceres,Acer sacharinum,0.03,2,Csa
Caceres,Acer sacharinum,0.05,3.5,Csa
Caceres,Ailanthus altissima,0.02,1.5,Csa
Caceres,Ailanthus altissima,0.02,1,Csa
Caceres,Acer sacharinum,0.08,4,Csa
Caceres,Acer sacharinum,0.2,5,Csa
Caceres,Acer sacharinum,0.2,5,Csa
Caceres,Acer sacharinum,0.15,5,Csa
Caceres,Acer sacharinum,0.25,5,Csa
Caceres,Acer sacharinum,0.2,5,Csa
Caceres,Acer sacharinum,0.21,5,Csa
Caceres,Acer sacharinum,0.22,5,Csa
Caceres,Acer sacharinum,0.2,5,Csa
Caceres,Acer sacharinum,0.2,5,Csa
Caceres,Acer sacharinum,0.2,5,Csa
Caceres,Acer sacharinum,0.25,5,Csa
Caceres,Acer sacharinum,0.21,5,Csa
Caceres,Acer sacharinum,0.25,5,Csa
Caceres,Acer sacharinum,0.2,5,Csa
Caceres,Acer sacharinum,0.28,5,Csa
Caceres,Acer sacharinum,0.27,5,Csa
Caceres,Acer sacharinum,0.28,5,Csa
Caceres,Acer sacharinum,0.25,5,Csa
Caceres,Acer sacharinum,0.22,5,Csa
Caceres,Acer sacharinum,0.25,5,Csa
Caceres,Acer sacharinum,0.2,5,Csa
Caceres,Acer sacharinum,0.21,5,Csa
Caceres,Acer sacharinum,0.26,5,Csa
Caceres,Acer sacharinum,0.18,5,Csa
Caceres,Acer sacharinum,0.12,5,Csa
Caceres,Acer sacharinum,0.27,5,Csa
Caceres,Acer sacharinum,0.16,5,Csa
Caceres,Acer sacharinum,0.16,5,Csa
Caceres,Acer sacharinum,0.18,5,Csa
Caceres,Acer sacharinum,0.18,5,Csa
Caceres,Acer sacharinum,0.18,5,Csa
Caceres,Acer sacharinum,0.25,5,Csa
Caceres,Acer sacharinum,0.27,5,Csa
Caceres,Acer sacharinum,0.16,5,Csa
Caceres,Acer sacharinum,0.18,5,Csa
Caceres,Acer sacharinum,0.2,5,Csa
Caceres,Acer sacharinum,0.16,5,Csa
Caceres,Acer sacharinum,0.18,5,Csa
Caceres,Acer sacharinum,0.2,5,Csa
Caceres,Acer sacharinum,0.23,5,Csa
Caceres,Acer sacharinum,0.22,5,Csa
Caceres,Acer sacharinum,0.26,5,Csa
Caceres,Acer sacharinum,0.22,5,Csa
Caceres,Acer sacharinum,0.22,5,Csa
Caceres,Acer sacharinum,0.21,5,Csa
Caceres,Acer sacharinum,0.18,5,Csa
Caceres,Acer sacharinum,0.2,5,Csa
Caceres,Acer sacharinum,0.18,5,Csa
Caceres,Acer sacharinum,0.2,5,Csa
Caceres,Acer sacharinum,0.35,5,Csa
Caceres,Acer sacharinum,0.33,5,Csa
Caceres,Acer sacharinum,0.26,5,Csa
Caceres,Acer sacharinum,0.27,5,Csa
Caceres,Acer sacharinum,0.28,5,Csa
Caceres,Acer sacharinum,0.3,5,Csa
Caceres,Acer sacharinum,0.25,5,Csa
Caceres,Acer sacharinum,0.23,5,Csa
Caceres,Acer sacharinum,0.12,4,Csa
Caceres,Acer sacharinum,0.25,4,Csa
Caceres,Acer sacharinum,0.19,4,Csa
Caceres,Acer sacharinum,0.26,4,Csa
Caceres,Acer sacharinum,0.24,4,Csa
Caceres,Acer sacharinum,0.25,4,Csa
Caceres,Acer sacharinum,0.25,4,Csa
Caceres,Acer sacharinum,0.19,4,Csa
Caceres,Acer sacharinum,0.2,4,Csa
Caceres,Acer sacharinum,0.17,4,Csa
Caceres,Acer sacharinum,0.15,4,Csa
Caceres,Acer sacharinum,0.18,4,Csa
Caceres,Acer sacharinum,0.17,4,Csa
Caceres,Acer sacharinum,0.16,4,Csa
Caceres,Acer sacharinum,0.2,4,Csa
Caceres,Acer sacharinum,0.2,4,Csa
Caceres,Acer sacharinum,0.2,4,Csa
Caceres,Acer sacharinum,0.17,4,Csa
Caceres,Acer sacharinum,0.18,4,Csa
Caceres,Acer sacharinum,0.15,2,Csa
Caceres,Acer sacharinum,0.18,4,Csa
Caceres,Acer sacharinum,0.28,4,Csa
Caceres,Acer sacharinum,0.26,4,Csa
Caceres,Acer sacharinum,0.26,4,Csa
Caceres,Acer sacharinum,0.28,4,Csa
Caceres,Acer sacharinum,0.26,4,Csa
Caceres,Acer sacharinum,0.26,4,Csa
Caceres,Acer sacharinum,0.26,4,Csa
Caceres,Acer sacharinum,0.24,4,Csa
Caceres,Acer sacharinum,0.2,4,Csa
Caceres,Acer sacharinum,0.2,4,Csa
Caceres,Acer sacharinum,0.22,4,Csa
Caceres,Acer sacharinum,0.24,4,Csa
Caceres,Acer sacharinum,0.18,4,Csa
Caceres,Acer sacharinum,0.18,4,Csa
Caceres,Acer sacharinum,0.18,4,Csa
Caceres,Acer sacharinum,0.18,4,Csa
Caceres,Acer sacharinum,0.16,4,Csa
Caceres,Acer sacharinum,0.16,4,Csa
Caceres,Acer sacharinum,0.16,4,Csa
Caceres,Acer sacharinum,0.16,4,Csa
Caceres,Acer sacharinum,0.16,4,Csa
Caceres,Acer sacharinum,0.14,4,Csa
Caceres,Acer sacharinum,0.14,4,Csa
Caceres,Acer sacharinum,0.16,4,Csa
Caceres,Acer sacharinum,0.16,4,Csa
Caceres,Acer sacharinum,0.16,4,Csa
Caceres,Acer sacharinum,0.14,4,Csa
Caceres,Acer sacharinum,0.14,4,Csa
Caceres,Acer sacharinum,0.16,4,Csa
Caceres,Acer sacharinum,0.28,4,Csa
Caceres,Acer sacharinum,0.26,4,Csa
Caceres,Acer sacharinum,0.26,4,Csa
Caceres,Acer sacharinum,0.28,4,Csa
Caceres,Acer sacharinum,0.28,4,Csa
Caceres,Acer sacharinum,0.28,4,Csa
