city.name,species,diameter,height,climate
Camden,Betula pendula,31,12,Csa
Camden,Prunus kanzan,39,5,Csa
Camden,Unknown,0,5,Csa
Camden,Prunus avium,50,12,Csa
Camden,Prunus 'Accolade',5,5,Csa
Camden,Acer cappadocicum,29,8,Csa
Camden,Parrotia persica vanessa,0,0,Csa
Camden,Prunus unidentified hybrid,24,4,Csa
Camden,Fraxinus excelsior,42,20,Csa
Camden,Sorbus aria,53,14,Csa
Camden,Carpinus betulus Lucas,0,0,Csa
Camden,Populus tremula,15,7,Csa
Camden,Stump Only,0,0,Csa
Camden,Abies alba,5,3,Csa
Camden,Betula pendula,5,4,Csa
Camden,Acer pseudoplatanus,34,9,Csa
Camden,Acer platanoides,15,7,Csa
Camden,Betula pendula,10,7,Csa
Camden,Zelkova serrata,5,4,Csa
Camden,Cornus kousa Milky Way,3,1.8,Csa
Camden,Parrotia persica vanessa,0,0,Csa
Camden,Prunus 'Pandora',12,6,Csa
Camden,Acer pseudoplatanus,61,18,Csa
Camden,Crataegus crus-galli,7,5,Csa
Camden,Fraxinus excelsior,31,17,Csa
Camden,Acer davidii,9,4,Csa
Camden,Carpinus betulus,0,0,Csa
Camden,Populus tremula,60,20,Csa
Camden,Malus domestica cultivar,18,5,Csa
Camden,Sorbus aria,80,13,Csa
Camden,Sorbus aucuparia,7,6,Csa
Camden,Carpinus betulus,0,0,Csa
Camden,Carpinus betulus,4,4,Csa
Camden,Fraxinus excelsior,79,22,Csa
Camden,Vacant Tree Pit,NA,NA,Csa
Camden,Prunus 'Accolade',5,5,Csa
Camden,Vacant Tree Pit,NA,NA,Csa
Camden,Populus tremula,14,8,Csa
Camden,Tilia europaea,32,11,Csa
Camden,Populus tremula,14,8,Csa
Camden,Vacant Tree Pit,NA,NA,Csa
Camden,Platanus x hispanica,71,21,Csa
Camden,Fraxinus excelsior,10,5,Csa
Camden,Alnus cordata,0,0,Csa
Camden,Amelanchier lamarckii,4,3,Csa
Camden,Cornus kousa Milky Way,3,1.8,Csa
Camden,Acer negundo,36,11,Csa
Camden,Ulmus Fiorente,0,0,Csa
Camden,Cornus kousa Milky Way,3,1.8,Csa
Camden,Tilia europaea,55,18,Csa
Camden,Carpinus betulus,15,7,Csa
Camden,Tilia europaea,52,23,Csa
Camden,Crataegus monogyna,10,5,Csa
Camden,Vacant Tree Pit,NA,NA,Csa
Camden,Acer pseudoplatanus,45,14,Csa
Camden,Pyrus calleryana 'Chanticclere,7,3,Csa
Camden,Carpinus betulus 'Fasticiata',27,11,Csa
Camden,Acer saccharinum,63,18,Csa
Camden,Acer campestre,9,4,Csa
Camden,Koelreuteria paniculata,4,3,Csa
Camden,Quercus rubra,4,3,Csa
Camden,Corylus colurna,0,0,Csa
Camden,Tilia europaea,29,11,Csa
Camden,Betula pendula,12,8,Csa
Camden,Carpinus betulus,18,9,Csa
Camden,Cotoneaster frigidus,10,5,Csa
Camden,Platanus x hispanica,91,18,Csa
Camden,Koelreuteria paniculata,4,2.5,Csa
Camden,Malus Tschonoskii,31,9,Csa
Camden,Acer campestre,29,10,Csa
Camden,Prunus cerasifera 'Pissardii',25,6,Csa
Camden,Betula nigra,7,5,Csa
Camden,Prunus spinosa,0,4,Csa
Camden,Acer platanoides,39,12,Csa
Camden,Aesculus hippocastanum,32,14,Csa
Camden,Tilia platyphyllos,25,10,Csa
Camden,Acer pseudoplatanus,55,20,Csa
Camden,Prunus laurocerasus,34,10,Csa
Camden,Fraxinus excelsior,27,9,Csa
Camden,Acer platanoides 'Unknown vari,21,14,Csa
Camden,Acer platanoides,35,11,Csa
Camden,Photinia x fraseri 'Red Robin',5,3,Csa
Camden,Vacant Tree Pit (planned: Cedrus atlantica),NA,NA,Csa
Camden,Prunus subhirtella 'Autumnalis,10,3,Csa
Camden,Betula jacquemontii,15,8,Csa
Camden,Platanus x hispanica,48,17,Csa
Camden,Larix decidua,4,2.5,Csa
Camden,Ilex aquifolium,10,6,Csa
Camden,Amelanchier lamarckii,12,6,Csa
Camden,Amelanchier lamarckii 'Robin H,9,3,Csa
Camden,Acer pseudoplatanus,53,15,Csa
Camden,Acer pseudoplatanus,35,18,Csa
Camden,Betula jacquemontii,3.5,2.5,Csa
Camden,Fraxinus excelsior,35,13,Csa
Camden,Acer platanoides,26,10,Csa
Camden,Acer saccharinum 'Laciniatum',63,13,Csa
Camden,Carpinus betulus,4,2.5,Csa
Camden,Carpinus betulus,4,4,Csa
Camden,Chamaecyparis lawsoniana 'unid,18,7,Csa
Camden,Robinia pseudoacacia 'Frisia',39,16,Csa
Camden,Betula pendula,34,15,Csa
Camden,Quercus robur,16,9,Csa
Camden,Robinia pseudoacacia 'Frisia',55,19,Csa
Camden,Crataegus crus-galli,29,7,Csa
Camden,Prunus cerasifera 'Pissardii',20,6,Csa
Camden,Crataegus oxyacantha 'Pauls Sc,13,4,Csa
Camden,Acer campestre,17,6,Csa
Camden,Betula jacquemontii,4,4,Csa
Camden,Betula papyrifera,38,13,Csa
Camden,Sorbus intermedia,35,6,Csa
Camden,Acer campestre,25,7,Csa
Camden,Platanus x hispanica,119,23,Csa
Camden,Fraxinus oxycarpa 'Raywood',36,18,Csa
Camden,Prunus subhirtella,32,8,Csa
Camden,Prunus unidentified species,16,5,Csa
Camden,Photinia x fraseri 'Red Robin',6,2,Csa
Camden,Tilia euchlora,24,13,Csa
Camden,Aesculus hippocastanum,45,11,Csa
Camden,Sambucus nigra,29,7,Csa
Camden,Betula jacquemontii,23,7,Csa
Camden,Prunus avium,33,9,Csa
Camden,Populus nigra 'Italica',50,18,Csa
Camden,Ostrya carpinifolia,5,4,Csa
Camden,Prunus subhirtella 'Autumnalis,7,4,Csa
Camden,Halesia monticola,4,2.5,Csa
Camden,Platanus x hispanica,55,20,Csa
Camden,Quercus robur,38,13,Csa
Camden,Alnus cordata,50,15,Csa
Camden,Tilia europaea,14,3,Csa
Camden,Acer platanoides 'Unknown vari,34,8,Csa
Camden,Prunus unidentified species,11,5,Csa
Camden,Platanus x hispanica,66,22,Csa
Camden,Quercus rubra,73,19,Csa
Camden,Prunus padus,27,10,Csa
Camden,Platanus x hispanica,58,17,Csa
