city.name,species,diameter,height,climate
Fingal county,Acer saccharinum,18,7.55,Cfb
Fingal county,Tilia cordata,10,2.5,Cfb
Fingal county,Tilia cordata,11,2.5,Cfb
Fingal county,Tilia cordata,10,2.5,Cfb
Fingal county,Tilia cordata,13,2.5,Cfb
Fingal county,Tilia cordata,14,7.55,Cfb
Fingal county,Tilia cordata,13,7.55,Cfb
Fingal county,Sorbus aria,19,7.55,Cfb
Fingal county,Sorbus aucuparia,13,7.55,Cfb
Fingal county,Acer pseudoplatanus,29,7.55,Cfb
Fingal county,Acer platanoides,27,7.55,Cfb
Fingal county,Acer platanoides,27,7.55,Cfb
Fingal county,Sorbus intermedia,20,7.55,Cfb
Fingal county,Sorbus aucuparia,20,7.55,Cfb
Fingal county,Acer platanoides,21,7.55,Cfb
Fingal county,Acer platanoides,18,7.55,Cfb
Fingal county,Suitable location,0,NA,Cfb
Fingal county,Tilia cordata,18,NA,Cfb
Fingal county,Prunus spp.,30,7.55,Cfb
Fingal county,Tilia cordata,17,7.55,Cfb
Fingal county,Acer pseudoplatanus,16,7.55,Cfb
Fingal county,Tilia spp.,10,2.5,Cfb
Fingal county,Stump,31,NA,Cfb
Fingal county,Acer campestre,8,2.5,Cfb
Fingal county,Tilia cordata,10,2.5,Cfb
Fingal county,Tilia cordata,11,2.5,Cfb
Fingal county,Suitable location,0,NA,Cfb
Fingal county,Amelanchier lamarchii,4,2.5,Cfb
Fingal county,Tilia cordata,25,7.55,Cfb
Fingal county,Tilia cordata,26,12.55,Cfb
Fingal county,Sorbus aria,20,7.55,Cfb
Fingal county,Prunus spp.,4,2.5,Cfb
Fingal county,Sorbus aucuparia,13,7.55,Cfb
Fingal county,Sorbus intermedia,27,7.55,Cfb
Fingal county,Sorbus aucuparia,7,2.5,Cfb
Fingal county,Pyrus calleryana,5,2.5,Cfb
Fingal county,Acer pseudoplatanus,27,7.55,Cfb
Fingal county,Sorbus aucuparia,6,2.5,Cfb
Fingal county,Sorbus intermedia,24,7.55,Cfb
Fingal county,Acer platanoides,16,7.55,Cfb
Fingal county,Acer platanoides,10,7.55,Cfb
Fingal county,Acer platanoides,12,7.55,Cfb
Fingal county,Sorbus aucuparia,20,7.55,Cfb
Fingal county,Acer pseudoplatanus,18,7.55,Cfb
Fingal county,Acer pseudoplatanus,38,12.55,Cfb
Fingal county,Acer platanoides,17,7.55,Cfb
Fingal county,Acer saccharinum,24,7.55,Cfb
Fingal county,Acer campestre,7,2.5,Cfb
Fingal county,Tilia cordata,19,7.55,Cfb
Fingal county,Tilia cordata,21,7.55,Cfb
Fingal county,Tilia cordata,11,2.5,Cfb
Fingal county,Tilia cordata,10,2.5,Cfb
Fingal county,Tilia cordata,12,2.5,Cfb
Fingal county,Tilia cordata,12,7.55,Cfb
Fingal county,Suitable location,0,NA,Cfb
Fingal county,Suitable location,0,NA,Cfb
Fingal county,Suitable location,0,NA,Cfb
Fingal county,Tilia cordata,13,7.55,Cfb
Fingal county,Sorbus aria,21,7.55,Cfb
Fingal county,Sorbus aucuparia,15,7.55,Cfb
Fingal county,Sorbus aucuparia,8,7.55,Cfb
Fingal county,Sorbus aucuparia,8,2.5,Cfb
Fingal county,Tilia spp.,18,7.55,Cfb
Fingal county,Tilia spp.,17,7.55,Cfb
Fingal county,Acer platanoides,18,7.55,Cfb
Fingal county,Acer platanoides,22,7.55,Cfb
Fingal county,Acer pseudoplatanus,17,7.55,Cfb
Fingal county,Suitable location,0,NA,Cfb
Fingal county,Ulmus lobeli,10,7.55,Cfb
Fingal county,Tilia cordata,15,7.55,Cfb
Fingal county,Acer campestre,6,2.5,Cfb
Fingal county,Tilia cordata,18,7.55,Cfb
Fingal county,Tilia cordata,8,2.5,Cfb
Fingal county,Tilia cordata,12,2.5,Cfb
Fingal county,Tilia cordata,24,7.55,Cfb
Fingal county,Suitable location,0,NA,Cfb
Fingal county,Tilia cordata,14,7.55,Cfb
Fingal county,Tilia cordata,21,2.5,Cfb
Fingal county,Suitable location,0,NA,Cfb
Fingal county,Tilia cordata,26,12.55,Cfb
Fingal county,Tilia cordata,27,12.55,Cfb
Fingal county,Sorbus aria,17,7.55,Cfb
Fingal county,Sorbus aria,16,7.55,Cfb
Fingal county,Acer platanoides,15,7.55,Cfb
Fingal county,Sorbus intermedia,30,7.55,Cfb
Fingal county,Sorbus aucuparia,10,2.5,Cfb
Fingal county,Sorbus aucuparia,8,2.5,Cfb
Fingal county,Sorbus aucuparia,7,2.5,Cfb
Fingal county,Sorbus aucuparia,10,2.5,Cfb
Fingal county,Tilia spp.,19,7.55,Cfb
Fingal county,Sorbus intermedia,31,7.55,Cfb
Fingal county,Sorbus aucuparia,10,7.55,Cfb
Fingal county,Sorbus intermedia,8,7.55,Cfb
Fingal county,Sorbus aucuparia,14,7.55,Cfb
Fingal county,Acer campestre,9,2.5,Cfb
Fingal county,Tilia cordata,19,7.55,Cfb
Fingal county,Tilia cordata,30,12.55,Cfb
Fingal county,Acer platanoides,35,12.55,Cfb
Fingal county,Acer platanoides,27,7.55,Cfb
Fingal county,Sorbus aucuparia,11,2.5,Cfb
Fingal county,Sorbus aucuparia,9,2.5,Cfb
Fingal county,Sorbus aucuparia,8,2.5,Cfb
Fingal county,Pyrus calleryana,6,2.5,Cfb
Fingal county,Acer pseudoplatanus,17,7.55,Cfb
Fingal county,Acer platanoides,27,12.55,Cfb
Fingal county,Tilia spp.,10,2.5,Cfb
Fingal county,Tilia spp.,11,2.5,Cfb
Fingal county,Acer pseudoplatanus,32,7.55,Cfb
Fingal county,Acer platanoides,29,7.55,Cfb
Fingal county,Sorbus aucuparia,7,2.5,Cfb
Fingal county,Tilia spp.,7,2.5,Cfb
Fingal county,Acer platanoides,31,7.55,Cfb
Fingal county,Sorbus aucuparia,9,7.55,Cfb
Fingal county,Prunus serrulata,36,7.55,Cfb
Fingal county,Acer platanoides,20,7.55,Cfb
Fingal county,Acer pseudoplatanus,21,NA,Cfb
Fingal county,Acer pseudoplatanus,16,7.55,Cfb
Fingal county,Tilia cordata,14,7.55,Cfb
Fingal county,Tilia cordata,10,2.5,Cfb
Fingal county,Tilia cordata,18,2.5,Cfb
Fingal county,Suitable location,0,NA,Cfb
Fingal county,Tilia cordata,14,7.55,Cfb
Fingal county,Tilia cordata,29,12.55,Cfb
Fingal county,Sorbus aucuparia,8,2.5,Cfb
Fingal county,Sorbus aucuparia,6,2.5,Cfb
Fingal county,Pyrus calleryana,6,2.5,Cfb
Fingal county,Tilia spp.,18,7.55,Cfb
Fingal county,Tilia spp.,14,7.55,Cfb
Fingal county,Tilia spp.,20,7.55,Cfb
Fingal county,Acer platanoides,20,7.55,Cfb
Fingal county,Sorbus intermedia,18,7.55,Cfb
Fingal county,Acer platanoides,13,7.55,Cfb
Fingal county,Acer platanoides,14,7.55,Cfb
Fingal county,Tilia cordata,16,7.55,Cfb
Fingal county,Tilia cordata,11,2.5,Cfb
Fingal county,Tilia cordata,9,2.5,Cfb
Fingal county,Tilia cordata,12,2.5,Cfb
Fingal county,Tilia cordata,11,2.5,Cfb
Fingal county,Suitable location,0,NA,Cfb
Fingal county,Tilia cordata,12,2.5,Cfb
Fingal county,Tilia cordata,20,NA,Cfb
Fingal county,Acer campestre,5,2.5,Cfb
Fingal county,Tilia cordata,10,7.55,Cfb
Fingal county,Tilia cordata,11,2.5,Cfb
Fingal county,Tilia cordata,10,2.5,Cfb
Fingal county,Tilia cordata,8,2.5,Cfb
Fingal county,Tilia cordata,11,2.5,Cfb
Fingal county,Tilia cordata,16,7.55,Cfb
Fingal county,Acer campestre,21,7.55,Cfb
Fingal county,Tilia cordata,10,7.55,Cfb
Fingal county,Tilia cordata,12,2.5,Cfb
Fingal county,Tilia cordata,13,7.55,Cfb
Fingal county,Sorbus aucuparia,17,7.55,Cfb
Fingal county,Sorbus aucuparia,9,2.5,Cfb
Fingal county,Acer platanoides,19,7.55,Cfb
Fingal county,Acer platanoides,18,7.55,Cfb
Fingal county,Acer platanoides,5,2.5,Cfb
Fingal county,Tilia spp.,11,2.5,Cfb
Fingal county,Acer platanoides,36,12.55,Cfb
Fingal county,Acer platanoides,30,7.55,Cfb
Fingal county,Acer pseudoplatanus,25,7.55,Cfb
Fingal county,Acer platanoides,22,7.55,Cfb
Fingal county,Acer platanoides,24,7.55,Cfb
Fingal county,Acer campestre,12,7.55,Cfb
Fingal county,Acer campestre,5,2.5,Cfb
Fingal county,Tilia cordata,14,7.55,Cfb
Fingal county,Tilia cordata,19,7.55,Cfb
Fingal county,Tilia cordata,7,2.5,Cfb
Fingal county,Tilia cordata,18,7.55,Cfb
Fingal county,Suitable location,26,7.55,Cfb
Fingal county,Tilia cordata,24,2.5,Cfb
Fingal county,Tilia cordata,11,2.5,Cfb
Fingal county,Tilia cordata,24,12.55,Cfb
Fingal county,Sorbus aucuparia,4,2.5,Cfb
Fingal county,,0,NA,Cfb
Fingal county,Pyrus calleryana,6,2.5,Cfb
Fingal county,Tilia spp.,16,7.55,Cfb
Fingal county,Tilia spp.,21,7.55,Cfb
Fingal county,Sorbus aucuparia,17,7.55,Cfb
Fingal county,Acer platanoides,21,7.55,Cfb
Fingal county,Acer pseudoplatanus,33,7.55,Cfb
Fingal county,Acer platanoides,12,7.55,Cfb
Fingal county,Acer platanoides,5,2.5,Cfb
Fingal county,Tilia spp.,12,2.5,Cfb
Fingal county,Acer pseudoplatanus,24,7.55,Cfb
Fingal county,Acer platanoides,13,2.5,Cfb
Fingal county,Acer platanoides,21,12.55,Cfb
Fingal county,Acer pseudoplatanus,24,7.55,Cfb
Fingal county,Acer campestre,7,2.5,Cfb
Fingal county,Tilia cordata,11,2.5,Cfb
Fingal county,Tilia cordata,7,2.5,Cfb
Fingal county,Tilia cordata,10,2.5,Cfb
