city.name,species,diameter,height,climate
Helsinki,Tilia platyphyllos,48,16.6,Dfb
Helsinki,Tilia x vulgaris,31,15.8,Dfb
Helsinki,Tilia x vulgaris,28,11.9,Dfb
Helsinki,Betula pendula,25,12.9,Dfb
Helsinki,Sorbus hybrida,16,7.2,Dfb
Helsinki,Tilia x vulgaris,35,12.1,Dfb
Helsinki,Tilia x vulgaris,34,14.4,Dfb
Helsinki,Tilia x vulgaris,61,18.3,Dfb
Helsinki,Acer platanoides,31,11.4,Dfb
Helsinki,Tilia x vulgaris,32,14.1,Dfb
Helsinki,Tilia x vulgaris,27,12.8,Dfb
Helsinki,Tilia x vulgaris,23,11.4,Dfb
Helsinki,Alnus glutinosa,17,9.1,Dfb
Helsinki,Alnus glutinosa,17,10.2,Dfb
Helsinki,Tilia x vulgaris,30,11,Dfb
Helsinki,Tilia x vulgaris,26,9.6,Dfb
Helsinki,Tilia x vulgaris,22,8.3,Dfb
Helsinki,Tilia x vulgaris,20,8.5,Dfb
Helsinki,Tilia x vulgaris,40,12.9,Dfb
Helsinki,Tilia x vulgaris,15,8,Dfb
Helsinki,Tilia x vulgaris,17,8.1,Dfb
Helsinki,Tilia x vulgaris,35,14.9,Dfb
Helsinki,Tilia x vulgaris,39,16.5,Dfb
Helsinki,Acer platanoides,33,11.1,Dfb
Helsinki,Acer platanoides,32,11.9,Dfb
Helsinki,Tilia x vulgaris,29,9.1,Dfb
Helsinki,Tilia x vulgaris,66,20.2,Dfb
Helsinki,Betula pendula,54,23.3,Dfb
Helsinki,Tilia x vulgaris,46,15.5,Dfb
Helsinki,Tilia x vulgaris,43,15.2,Dfb
Helsinki,Ulmus glabra,21,10.8,Dfb
Helsinki,Ulmus glabra,26,10.3,Dfb
Helsinki,Ulmus glabra,31,12.6,Dfb
Helsinki,Tilia x vulgaris,33,12.9,Dfb
Helsinki,Tilia x vulgaris,44,14.7,Dfb
Helsinki,Tilia x vulgaris,26,13.2,Dfb
Helsinki,Tilia x vulgaris,24,9.7,Dfb
Helsinki,Salix Sibirica,61,15.6,Dfb
Helsinki,Tilia x vulgaris,47,17.7,Dfb
Helsinki,Quercus robur,20,9.2,Dfb
Helsinki,Picea abies,31,16.2,Dfb
Helsinki,Tilia x vulgaris,44,16,Dfb
Helsinki,Quercus robur,18,8,Dfb
Helsinki,Tilia x vulgaris,31,13.6,Dfb
Helsinki,Tilia x vulgaris,62,17.7,Dfb
Helsinki,Tilia x vulgaris,53,18.9,Dfb
Helsinki,Tilia x vulgaris,44,15,Dfb
Helsinki,Acer platanoides,58,13.5,Dfb
Helsinki,Acer platanoides,45,15,Dfb
Helsinki,Tilia x vulgaris,28,11.5,Dfb
Helsinki,Tilia x vulgaris,26,11.1,Dfb
Helsinki,Tilia x vulgaris,47,14.8,Dfb
Helsinki,Tilia x vulgaris,29,10.3,Dfb
Helsinki,Tilia x vulgaris,24,10.7,Dfb
Helsinki,Tilia x vulgaris,26,10.1,Dfb
