city.name,species,diameter,height,climate,new.species
Madrid,Platanus hispanica,4.774648293,4,Csa,Platanus hispanica
Madrid,Olea europaea,17.50704374,3.5,Csa,Olea europaea
Madrid,Pinus pinea,11.4591559,5,Csa,Pinus pinea
Madrid,Pinus pinea,20.37183272,5,Csa,Pinus pinea
Madrid,Pinus pinea,14.32394488,5,Csa,Pinus pinea
Madrid,Morus sp.,7.957747155,3,Csa,Morus 
Madrid,Morus alba,4.774648293,2.5,Csa,Morus alba
Madrid,Ligustrum japonicum,6.68450761,4,Csa,Ligustrum japonicum
Madrid,Ligustrum japonicum,8.276057041,4,Csa,Ligustrum japonicum
Madrid,Platanus hispanica,7.957747155,5,Csa,Platanus hispanica
Madrid,Platanus hispanica,9.549296586,5,Csa,Platanus hispanica
Madrid,Platanus hispanica,11.14084602,5,Csa,Platanus hispanica
Madrid,Platanus hispanica,12.41408556,5.5,Csa,Platanus hispanica
Madrid,Robinia pseudoacacia,12.09577567,4.5,Csa,Robinia pseudoacacia
Madrid,Platanus hispanica,12.73239545,5.5,Csa,Platanus hispanica
Madrid,Platanus hispanica,11.14084602,5.5,Csa,Platanus hispanica
Madrid,Platanus hispanica,11.14084602,4.5,Csa,Platanus hispanica
Madrid,Platanus hispanica,8.594366927,4.5,Csa,Platanus hispanica
Madrid,Robinia pseudoacacia,11.4591559,4,Csa,Robinia pseudoacacia
Madrid,Robinia pseudoacacia,8.912676813,4,Csa,Robinia pseudoacacia
Madrid,Robinia pseudoacacia,10.50422624,4.5,Csa,Robinia pseudoacacia
Madrid,Robinia pseudoacacia,10.50422624,4.5,Csa,Robinia pseudoacacia
Madrid,Robinia pseudoacacia,10.50422624,4.5,Csa,Robinia pseudoacacia
Madrid,Robinia pseudoacacia,10.82253613,4.5,Csa,Robinia pseudoacacia
Madrid,Robinia pseudoacacia,10.18591636,4.5,Csa,Robinia pseudoacacia
Madrid,Robinia pseudoacacia,10.50422624,4,Csa,Robinia pseudoacacia
Madrid,Robinia pseudoacacia,14.32394488,5,Csa,Robinia pseudoacacia
