city.name,species,diameter,height,climate
Namur,Crataegus sp.,7.957747155,2.5,Cfb
Namur,Crataegus sp.,7.957747155,2.5,Cfb
Namur,Crataegus sp.,23.87324146,2.5,Cfb
Namur,Crataegus sp.,23.87324146,2.5,Cfb
Namur,Crataegus sp.,7.957747155,2.5,Cfb
Namur,Crataegus sp.,23.87324146,2.5,Cfb
Namur,Robinia pseudoacacia,23.87324146,2.5,Cfb
Namur,Robinia pseudoacacia,23.87324146,2.5,Cfb
Namur,Robinia pseudoacacia,23.87324146,2.5,Cfb
Namur,Robinia pseudoacacia,7.957747155,2.5,Cfb
Namur,Crataegus sp.,23.87324146,2.5,Cfb
Namur,Crataegus sp.,23.87324146,2.5,Cfb
Namur,Crataegus sp.,23.87324146,2.5,Cfb
Namur,Crataegus sp.,23.87324146,2.5,Cfb
Namur,Crataegus sp.,23.87324146,2.5,Cfb
Namur,Robinia pseudoacacia,23.87324146,2.5,Cfb
Namur,Robinia pseudoacacia,23.87324146,2.5,Cfb
Namur,Robinia pseudoacacia,7.957747155,2.5,Cfb
Namur,Robinia pseudoacacia,7.957747155,2.5,Cfb
Namur,Crataegus sp.,23.87324146,2.5,Cfb
Namur,Crataegus sp.,23.87324146,2.5,Cfb
Namur,Acer platanoides 'Faassen's Black',23.87324146,7.5,Cfb
Namur,Acer platanoides 'Faassen's Black',7.957747155,2.5,Cfb
Namur,Acer platanoides 'Faassen's Black',7.957747155,2.5,Cfb
Namur,Acer platanoides 'Faassen's Black',7.957747155,7.5,Cfb
Namur,Acer platanoides 'Faassen's Black',23.87324146,7.5,Cfb
Namur,Acer platanoides 'Faassen's Black',7.957747155,2.5,Cfb
Namur,Acer platanoides 'Faassen's Black',23.87324146,7.5,Cfb
Namur,Acer platanoides 'Faassen's Black',23.87324146,7.5,Cfb
Namur,Acer platanoides 'Faassen's Black',23.87324146,7.5,Cfb
Namur,Acer platanoides 'Faassen's Black',39.78873577,7.5,Cfb
Namur,Liquidambar styraciflua,23.87324146,7.5,Cfb
Namur,Platanus x acerifolia,23.87324146,2.5,Cfb
Namur,Platanus x acerifolia,23.87324146,2.5,Cfb
Namur,Platanus x acerifolia,23.87324146,2.5,Cfb
Namur,Platanus x acerifolia,83.39719018,21.5,Cfb
Namur,Platanus x acerifolia,90.71831756,22.8,Cfb
Namur,Platanus occidentalis,66.20845633,22.2,Cfb
Namur,Platanus x acerifolia,73.21127382,18.3,Cfb
Namur,Platanus x acerifolia,77.98592212,21.1,Cfb
Namur,Platanus x acerifolia,73.84789359,22,Cfb
Namur,Platanus x acerifolia,67.48169587,20.3,Cfb
Namur,Platanus x acerifolia,64.29859701,21.3,Cfb
Namur,Platanus x acerifolia,76.39437268,22.5,Cfb
Namur,Platanus x acerifolia,92.94648677,22.4,Cfb
Namur,Platanus x acerifolia,62.07042781,20.2,Cfb
Namur,Platanus x acerifolia,82.76057041,21,Cfb
Namur,Platanus x acerifolia,83.71550007,21.4,Cfb
Namur,Platanus x acerifolia,68.43662553,21.9,Cfb
Namur,Tilia cordata,7.957747155,7.5,Cfb
Namur,Tilia cordata,7.957747155,7.5,Cfb
Namur,Tilia cordata,7.957747155,7.5,Cfb
Namur,Tilia cordata,7.957747155,7.5,Cfb
Namur,Tilia cordata,7.957747155,7.5,Cfb
Namur,Acer platanoides,23.87324146,7.5,Cfb
Namur,Acer platanoides,23.87324146,7.5,Cfb
Namur,Acer platanoides,23.87324146,7.5,Cfb
Namur,Acer platanoides,23.87324146,7.5,Cfb
Namur,"Platanus X acerifolia ""Alphen's globe""",7.957747155,2.5,Cfb
Namur,"Platanus X acerifolia ""Alphen's globe""",7.957747155,2.5,Cfb
Namur,"Platanus X acerifolia ""Alphen's globe""",7.957747155,2.5,Cfb
Namur,"Platanus X acerifolia ""Alphen's globe""",7.957747155,2.5,Cfb
Namur,Corylus  colurna,7.957747155,2.5,Cfb
Namur,Corylus  colurna,23.87324146,7.5,Cfb
Namur,Corylus  colurna,7.957747155,7.5,Cfb
Namur,Corylus  colurna,23.87324146,7.5,Cfb
Namur,Corylus  colurna,23.87324146,7.5,Cfb
Namur,Corylus  colurna,23.87324146,7.5,Cfb
Namur,Corylus  colurna,23.87324146,7.5,Cfb
Namur,Corylus  colurna,23.87324146,7.5,Cfb
Namur,Corylus  colurna,7.957747155,7.5,Cfb
Namur,Cornus mas,7.957747155,2.5,Cfb
Namur,Cornus mas,7.957747155,2.5,Cfb
Namur,Cornus mas,7.957747155,2.5,Cfb
Namur,Cornus mas,7.957747155,2.5,Cfb
Namur,Cornus mas,7.957747155,2.5,Cfb
Namur,Cornus mas,7.957747155,2.5,Cfb
Namur,Cornus mas,7.957747155,2.5,Cfb
Namur,Cornus mas,7.957747155,2.5,Cfb
Namur,Cornus mas,7.957747155,2.5,Cfb
Namur,Cornus mas,7.957747155,2.5,Cfb
Namur,Cornus mas,7.957747155,2.5,Cfb
Namur,Cornus mas,7.957747155,2.5,Cfb
Namur,Cornus mas,7.957747155,2.5,Cfb
Namur,Cornus mas,7.957747155,2.5,Cfb
Namur,Cornus mas,7.957747155,2.5,Cfb
Namur,Cornus mas,7.957747155,2.5,Cfb
Namur,Cornus mas,7.957747155,2.5,Cfb
Namur,Cornus mas,7.957747155,2.5,Cfb
Namur,Cornus mas,7.957747155,2.5,Cfb
Namur,Cornus mas,7.957747155,2.5,Cfb
Namur,Sorbus aria,7.957747155,2.5,Cfb
Namur,Fraxinus excelsior,23.87324146,12.5,Cfb
Namur,Fraxinus ornus,7.957747155,2.5,Cfb
Namur,Robinia pseudoacacia,7.957747155,2.5,Cfb
Namur,Robinia pseudoacacia,7.957747155,2.5,Cfb
Namur,Crataegus sp.,7.957747155,2.5,Cfb
Namur,Sorbus aucuparia,23.87324146,7.5,Cfb
Namur,Robinia pseudoacacia,7.957747155,2.5,Cfb
Namur,Robinia pseudoacacia,7.957747155,2.5,Cfb
Namur,Crataegus sp.,7.957747155,2.5,Cfb
Namur,Robinia pseudoacacia,23.87324146,2.5,Cfb
