city.name,species,diameter,height,climate
Turin,,NA,NA,Cfb
Turin,,NA,NA,Cfb
Turin,,NA,NA,Cfb
Turin,Celtis australis,54,16,Cfb
Turin,,NA,NA,Cfb
Turin,,NA,NA,Cfb
Turin,,NA,NA,Cfb
Turin,,NA,NA,Cfb
Turin,,NA,NA,Cfb
Turin,,NA,NA,Cfb
Turin,,NA,NA,Cfb
Turin,,NA,NA,Cfb
Turin,,NA,NA,Cfb
Turin,,NA,NA,Cfb
Turin,,NA,NA,Cfb
Turin,,NA,NA,Cfb
Turin,,NA,NA,Cfb
Turin,,NA,NA,Cfb
Turin,,NA,NA,Cfb
Turin,,NA,NA,Cfb
Turin,,NA,NA,Cfb
Turin,,NA,NA,Cfb
Turin,,NA,NA,Cfb
Turin,,NA,NA,Cfb
Turin,,NA,NA,Cfb
Turin,,NA,NA,Cfb
Turin,,NA,NA,Cfb
Turin,,NA,NA,Cfb
Turin,,NA,NA,Cfb
Turin,,NA,NA,Cfb
Turin,,NA,NA,Cfb
Turin,,NA,NA,Cfb
Turin,,NA,NA,Cfb
Turin,,NA,NA,Cfb
Turin,,NA,NA,Cfb
Turin,,NA,NA,Cfb
Turin,,NA,NA,Cfb
Turin,,NA,NA,Cfb
Turin,,NA,NA,Cfb
Turin,,NA,NA,Cfb
Turin,,NA,NA,Cfb
Turin,,NA,NA,Cfb
Turin,,NA,NA,Cfb
Turin,,NA,NA,Cfb
Turin,,NA,NA,Cfb
Turin,,NA,NA,Cfb
Turin,,NA,NA,Cfb
Turin,,NA,NA,Cfb
Turin,,NA,NA,Cfb
Turin,,NA,NA,Cfb
Turin,,NA,NA,Cfb
Turin,,NA,NA,Cfb
Turin,,NA,NA,Cfb
Turin,,NA,NA,Cfb
Turin,Cedrus atlantica,58,19,Cfb
Turin,,NA,NA,Cfb
Turin,,NA,NA,Cfb
Turin,,NA,NA,Cfb
Turin,Liriodendron tulipifera,33,12,Cfb
Turin,,NA,NA,Cfb
Turin,,NA,NA,Cfb
Turin,,NA,NA,Cfb
Turin,,NA,NA,Cfb
Turin,,NA,NA,Cfb
Turin,,NA,NA,Cfb
Turin,,NA,NA,Cfb
Turin,Liriodendron tulipifera,41,13,Cfb
Turin,Populus italica,43,14,Cfb
Turin,,NA,NA,Cfb
Turin,,NA,NA,Cfb
Turin,,NA,NA,Cfb
Turin,,NA,NA,Cfb
Turin,,NA,NA,Cfb
Turin,Liriodendron tulipifera,35,9,Cfb
Turin,,NA,NA,Cfb
Turin,,NA,NA,Cfb
Turin,Ulmus pumila,43,15,Cfb
Turin,,NA,NA,Cfb
Turin,Morus alba,18,5,Cfb
Turin,,NA,NA,Cfb
Turin,Tilia hybrida,28,14,Cfb
Turin,,NA,NA,Cfb
Turin,,NA,NA,Cfb
Turin,Tilia hybrida,30,13,Cfb
Turin,,NA,NA,Cfb
Turin,,NA,NA,Cfb
Turin,Morus alba,22,5,Cfb
Turin,,NA,NA,Cfb
Turin,,NA,NA,Cfb
Turin,Populus italica pyramidalis,72,18,Cfb
Turin,,NA,NA,Cfb
Turin,,NA,NA,Cfb
Turin,,NA,NA,Cfb
Turin,,NA,NA,Cfb
Turin,,NA,NA,Cfb
Turin,Populus italica pyramidalis,35,16,Cfb
Turin,,NA,NA,Cfb
Turin,,NA,NA,Cfb
Turin,,NA,NA,Cfb
