city.name,species,diameter,height,climate
Warsaw,Prunus  sp.(wiśnia),2.864788976,"11,000,000,238",Cfb
Warsaw,Betula pendula,5.092958179,"3,5",Cfb
Warsaw,Prunus  sp.(wiśnia),2.546479089,1,Cfb
Warsaw,Betula pendula,6.047887837,4,Cfb
Warsaw,Pinus sylvestris,1.273239545,1,Cfb
Warsaw,Betula pendula,6.68450761,"17,999,999,523",Cfb
Warsaw,Betula pendula,7.321127382,"4,5",Cfb
Warsaw,Betula pendula,6.366197724,"4,5",Cfb
Warsaw,Populus nigra,46.1549335,11,Cfb
Warsaw,Populus nigra,40.10704566,"11,5",Cfb
Warsaw,Populus nigra,44.24507418,9,Cfb
Warsaw,Quercus robur,34.05915782,9,Cfb
Warsaw,Acer negundo,51.56620156,12,Cfb
Warsaw,Acer platanoides,3.501408748,3,Cfb
Warsaw,Acer platanoides,3.501408748,3,Cfb
Warsaw,Aesculus  sp.,8.912676813,3,Cfb
Warsaw,Quercus robur,66.52676621,14,Cfb
Warsaw,Fraxinus  sp.,95.17465597,10,Cfb
Warsaw,Acer negundo,56.34084985,"7,5",Cfb
Warsaw,Populus maximowiczii,NA,17,Cfb
Warsaw,Acer platanoides,26.10141067,9,Cfb
Warsaw,Acer platanoides,15.59718442,8,Cfb
Warsaw,Acer platanoides,22.91831181,6,Cfb
Warsaw,Robinia  sp.,43.29014452,9,Cfb
Warsaw,Tilia cordata,54.43099054,9,Cfb
Warsaw,Acer platanoides,16.2338042,7,Cfb
Warsaw,Acer platanoides,25.78310078,7,Cfb
Warsaw,Acer platanoides,29.9211293,7,Cfb
Warsaw,Larix  sp.,12.73239545,5,Cfb
Warsaw,Larix  sp.,17.82535363,5,Cfb
Warsaw,Acer platanoides,18.14366351,6,Cfb
Warsaw,Aesculus  sp.,NA,6,Cfb
Warsaw,Acer negundo,NA,8,Cfb
Warsaw,Acer negundo,NA,7,Cfb
Warsaw,Acer platanoides,33.10422816,8,Cfb
Warsaw,Tilia cordata,20.37183272,"5,5",Cfb
Warsaw,Acer pseudoplatanus,10.50422624,6,Cfb
Warsaw,Tilia cordata,22.28169203,"6,5",Cfb
Warsaw,Acer platanoides,13.36901522,"5,5",Cfb
Warsaw,Acer platanoides,16.2338042,"4,5",Cfb
Warsaw,Tilia cordata,27.05634033,8,Cfb
Warsaw,Acer platanoides,NA,9,Cfb
Warsaw,Tilia cordata,NA,9,Cfb
Warsaw,Acer platanoides,NA,9,Cfb
Warsaw,Robinia  sp.,41.3802852,12,Cfb
Warsaw,Acer platanoides,30.55774907,8,Cfb
Warsaw,Acer platanoides,29.28450953,9,Cfb
Warsaw,Acer platanoides,NA,"9,5",Cfb
Warsaw,Acer platanoides,21.00845249,9,Cfb
Warsaw,Acer platanoides,25.46479089,"8,5",Cfb
Warsaw,Acer platanoides,20.37183272,"8,5",Cfb
Warsaw,Acer platanoides,NA,"5,5",Cfb
Warsaw,Acer platanoides,18.78028328,"8,5",Cfb
Warsaw,Acer platanoides,11.77746579,"6,5",Cfb
Warsaw,Acer platanoides,21.96338215,"8,5",Cfb
Warsaw,Acer platanoides,32.46760839,6,Cfb
Warsaw,Acer platanoides,32.78591828,"7,5",Cfb
Warsaw,Acer platanoides,13.68732511,7,Cfb
Warsaw,Acer platanoides,28.01126998,8,Cfb
Warsaw,Acer platanoides,25.46479089,"7,5",Cfb
Warsaw,Tilia platyphyllos,14.32394488,"4,5",Cfb
Warsaw,Fraxinus  sp.,54.43099054,14,Cfb
Warsaw,Populus maximowiczii,NA,20,Cfb
Warsaw,Robinia  sp.,9.230986699,4,Cfb
Warsaw,Betula pendula,12.09577567,"4,5",Cfb
Warsaw,Betula pendula,22.28169203,"7,5",Cfb
Warsaw,Betula pendula,8.594366927,"4,5",Cfb
Warsaw,Betula pendula,18.4619734,8,Cfb
Warsaw,Robinia  sp.,NA,8,Cfb
Warsaw,Acer negundo,NA,8,Cfb
Warsaw,Acer negundo,NA,6,Cfb
Warsaw,Acer negundo,NA,"4,5",Cfb
Warsaw,Populus nigra,40.42535555,7,Cfb
Warsaw,Acer negundo,41.69859509,10,Cfb
Warsaw,Robinia  sp.,21.32676237,7,Cfb
Warsaw,Ulmus laevis,11.77746579,4,Cfb
Warsaw,Robinia  sp.,19.73521294,8,Cfb
Warsaw,Acer negundo,41.69859509,12,Cfb
