Species name,Total.no.trees,Total.cities.species.occurs.in,Total.carbon.stored.tonnes
Abies alba,722,15,120.16339
Abies pinsapo,318,12,123.1074846
Acacia dealbata,367,11,12.05721968
Acer buergerianum,395,8,22.47514766
Acer campestre,34902,21,5445.283338
Acer cappadocicum,632,11,275.9829461
Acer freemanii,588,9,16.00203203
Acer monspessulanum,833,10,85.92982604
Acer negundo,15757,20,3536.535862
Acer palmatum,766,17,78.39991211
Acer pseudoplatanus,46663,21,22447.8965
Acer rubrum,1143,13,185.9699318
Acer saccharinum,14022,21,8970.566093
Acer tataricum,1221,12,150.8570442
Aesculus carnea,9241,15,2024.041368
Aesculus hippocastanum,56650,21,38628.07311
Ailanthus altissima,6443,20,1957.54633
Albizia julibrissin,1312,12,107.4519937
Alnus cordata,1482,17,473.9078294
Alnus incana,1523,17,380.2929262
Alnus spaethii,469,9,41.49080277
Amelanchier lamarckii,795,11,21.37404348
Arbutus unedo,591,11,22.9343663
Betula papyrifera,576,11,94.15120763
Betula pendula,42530,20,13767.66844
Betula pubescens,1475,16,544.2016539
Betula utilis,1189,12,96.34070277
Broussonetia papyrifera,563,13,38.61698395
Calocedrus decurrens,789,13,479.4907185
Carpinus betulus,41462,21,10591.60717
Castanea sativa,1238,17,545.002266
Catalpa bungei,822,5,92.88313669
Cedrus atlantica,3446,16,3797.956314
Cedrus deodara,3156,20,2514.726679
Cedrus libani,1080,13,1463.85676
Celtis australis,33032,17,14658.17967
Celtis occidentalis,9409,12,4641.113097
Celtis sinensis,533,5,86.4583524
Cephalotaxus harringtonii,1205,9,106.0522574
Cercidiphyllum japonicum,267,11,18.26438625
Cercis siliquastrum,7541,18,383.2786268
Chamaecyparis,269,7,47.21906436
Chamaecyparis lawsoniana,4049,19,607.3001828
Chamaecyparis thyoides,550,3,68.85541454
Cornus mas,546,13,23.59030899
Corylus avellana,488,14,56.79308992
Corylus colurna,12049,20,1596.983525
Crataegus crus-galli,299,5,21.48053153
Crataegus laevigata,1939,14,148.323484
Crataegus lavallei,505,13,30.79987088
Crataegus persimilis,391,6,31.66641233
Cupressus arizonica,2445,15,344.3282447
Cupressus leylandii,2995,15,507.6798544
Cupressus macrocarpa,390,10,192.778863
Cupressus sempervirens,5430,15,470.6140166
Cydonia oblonga,697,11,29.80103496
Diospyros kaki,309,9,42.11687773
Elaeagnus angustifolia,1628,12,207.3961952
Eriobotrya japonica,603,10,33.70219396
Fagus sylvatica,11754,20,15606.16221
Ficus carica,1063,14,37.25333357
Fraxinus americana,4870,14,1508.221192
Fraxinus angustifolia,10338,20,2052.743077
Fraxinus excelsior,54794,22,26478.63673
Fraxinus ornus,12490,19,1370.206868
Fraxinus pennsylvanica,2145,10,668.6283654
Ginkgo biloba,6274,20,656.574842
Gleditsia triacanthos,12215,20,3486.911796
Hibiscus syriacus,565,11,10.86253158
Juglans nigra,2221,18,1020.089528
Juglans regia,9876,21,2765.726135
Koelreuteria paniculata,7372,18,854.0750767
Laburnum anagyroides,301,14,23.96910761
Lagerstroemia indica,1824,11,38.84342814
Ligustrum japonicum,2647,8,161.9578645
Ligustrum lucidum,1243,12,54.93097451
Maclura pomifera,309,11,132.4402901
Malus domestica,5634,13,476.0971954
Malus floribunda,610,14,25.40495539
Malus purpurea,415,8,21.99258821
Malus sylvestris,439,13,42.19503114
Malus trilobata,273,5,6.557356785
Melia azedarach,3021,9,392.9371744
Metasequoia glyptostroboides,430,11,112.8307075
Morus alba,3971,18,886.5754997
Morus kagayamae,293,3,29.20685028
Morus nigra,1247,14,201.1153284
Olea europaea,3059,11,695.144759
Ostrya carpinifolia,1998,14,150.0504709
Parrotia persica,1172,13,68.65801313
Paulownia tomentosa,2186,16,357.0153285
Photinia villosa,281,1,5.227548295
Picea abies,7294,19,1236.238383
Picea mariana,5099,5,479.9236754
Picea omorika,2483,11,57.3190958
Picea pungens,3203,19,131.7464395
Pinus halepensis,2633,8,201.4575241
Pinus heldreichii,244,4,9.670547752
Pinus mugo,298,8,4.986157166
Pinus nigra,18933,19,4874.53971
Pinus pinaster,778,10,366.5940065
Pinus pinea,7618,12,762.7740029
Pinus strobus,939,14,152.2680714
Pinus sylvestris,7573,21,1947.746317
Pinus thunbergii,424,3,27.2525546
Pinus wallichiana,406,11,122.816597
Platanus hispanica,106714,21,67896.95191
Platanus occidentalis,5339,7,2674.984276
Platanus orientalis,12335,15,9891.865058
Platycladus orientalis,2073,11,44.85603871
Populus alba,9005,20,5692.707996
Populus berolinensis,275,5,426.1289151
Populus canadensis,2094,11,2141.540657
Populus canescens,2101,12,1831.122445
Populus deltoides,1476,9,1557.266832
Populus hybrida,444,2,99.10614651
Populus nigra,22461,22,22011.3725
Populus simonii,1472,11,669.4667088
Populus tremula,2081,19,765.0633605
Prunus armeniaca,617,13,26.44426545
Prunus avium,14933,21,2718.856931
Prunus cerasifera,18769,20,1365.413405
Prunus cerasus,2738,14,206.7891918
Prunus cornuta,307,2,14.73471711
Prunus domestica,5563,17,370.9138746
Prunus dulcis,1450,13,72.67263313
Prunus laurocerasus,346,11,44.0668643
Prunus lusitanica,265,7,24.37520775
Prunus mahaleb,266,8,33.76113743
Prunus padus,2574,14,338.6121896
Prunus persica,728,11,10.42292147
Prunus pissardii,1383,4,103.310697
Prunus sargentii,693,12,36.62659136
Prunus serrula,386,8,28.95121974
Prunus serrulata,9415,18,1175.939245
Prunus subhirtella,1058,11,89.66992862
Pseudotsuga menziesii,867,15,364.4187547
Pterocarya fraxinifolia,1207,15,783.8815907
Punica granatum,290,8,9.403883424
Pyrus calleryana,11656,19,538.1130421
Pyrus communis,3638,15,575.7823506
Pyrus salicifolia,296,6,10.10635321
Quercus cerris,3359,16,1085.457321
Quercus frainetto,495,10,103.5432202
Quercus ilex,5498,15,1199.794655
Quercus palustris,2973,13,954.1593662
Quercus petraea,1833,19,910.7341589
Quercus pubescens,1644,12,198.8638186
Quercus robur,68775,21,66913.05043
Quercus rubra,8338,18,5376.405524
Quercus suber,287,10,78.65172818
Rhus typhina,686,10,21.23287691
Robinia hispida,308,6,23.80568761
Robinia pseudoacacia,42949,21,14532.90295
Salix alba,4902,21,1881.030651
